time,"Strain_Gauge_7","Strain_Gauge_8","Strain_Gauge_9","Vault_temp"
"2022-12-16 00:10","16491.95411783854","91471.35970052083","81651.9787109375","21.051834106445312"
"2022-12-16 00:20","16495.451985677082","91474.29322916667","81650.003515625","21.090823491414387"
"2022-12-16 00:30","16506.23642578125","91493.40983072917","81667.84114583333","21.169218508402505"
"2022-12-16 00:40","16511.01547972624","91509.69699121901","81682.07082902892","21.211036173502603"
"2022-12-16 00:50","16494.6701171875","91488.46692708334","81665.29016927084","21.126453526814778"
"2022-12-16 01:00","16492.134537760416","91470.95319010416","81650.83229166667","21.01106135050456"
"2022-12-16 01:10","16500.03204752604","91473.04713541667","81654.17473958334","21.10778299967448"
"2022-12-16 01:20","16506.109749348958","91501.5453125","81675.48346354166","21.150232950846355"
"2022-12-16 01:30","16504.504313151043","91507.47734375","81682.47272135416","21.188168462117513"
"2022-12-16 01:40","16490.512662760415","91479.68489583333","81660.61119791666","21.09323527018229"
"2022-12-16 01:50","16491.963118489584","91464.87467447917","81651.29837239583","21.01106135050456"
"2022-12-16 02:00","16498.643294270834","91472.62467447917","81659.92239583333","21.103097279866535"
"2022-12-16 02:10","16503.866341145833","91500.48248697916","81681.364453125","21.13946361541748"
"2022-12-16 02:20","16498.9830078125","91488.34720052083","81675.30520833333","21.148519007364907"
"2022-12-16 02:30","16488.24952799479","91461.43561197916","81652.2755859375","20.94979909261068"
"2022-12-16 02:40","16488.224202473957","91462.38821614583","81649.99615885416","21.01081657409668"
"2022-12-16 02:50","16493.87841796875","91480.23470052083","81665.21022135417","21.101558685302734"
"2022-12-16 03:00","16501.442220052082","91499.00657552083","81681.27356770834","21.172819900512696"
"2022-12-16 03:10","16494.460074869792","91475.7052734375","81666.95494791666","21.093877083013865"
"2022-12-16 03:20","16490.757291666665","91454.24225260416","81648.34895833333","20.997018640691582"
"2022-12-16 03:30","16495.9486328125","91463.31217447917","81652.8005859375","21.105859756469727"
"2022-12-16 03:40","16500.658837890624","91492.70625","81675.209375","21.139498647054037"
"2022-12-16 03:50","16495.66326497396","91498.5123046875","81679.08203125","21.156666564941407"
"2022-12-16 04:00","16480.881119791666","91466.73541666666","81652.65364583333","21.021621704101562"
"2022-12-16 04:10","16484.013069661458","91462.03984375","81649.4537109375","21.030417786926783"
"2022-12-16 04:20","16493.495670572916","91486.13815104167","81665.05188802084","21.111484912263244"
"2022-12-16 04:30","16498.25519205729","91504.12122395834","81681.5056640625","21.1576810836792"
"2022-12-16 04:40","16485.692415364585","91471.53365885417","81658.98326822916","20.981270853678385"
"2022-12-16 04:50","16487.533251953126","91460.68333333333","81649.41165364583","20.9764430363973"
"2022-12-16 05:00","16500.56474609375","91465.36634114584","81655.8875","21.0963134765625"
"2022-12-16 05:10","16508.211458333335","91475.94993489583","81664.89446614584","21.16247132619222"
"2022-12-16 05:20","16512.593798828126","91503.68639322916","81685.00345052083","21.183378219604492"
"2022-12-16 05:30","16505.7373046875","91503.1748046875","81682.9677734375","21.129950459798177"
"2022-12-16 05:40","16495.658984375","91469.74680989583","81658.01575520834","20.96588268280029"
"2022-12-16 05:50","16497.564371744793","91473.98815104166","81658.986328125","21.072255452473957"
"2022-12-16 06:00","16503.406282552085","91483.9490234375","81667.16334635417","21.165267372131346"
"2022-12-16 06:10","16512.47236328125","91511.3439453125","81688.527734375","21.20509147644043"
"2022-12-16 06:20","16505.656884765624","91509.6951171875","81688.5408203125","21.12194398244222"
"2022-12-16 06:30","16486.8134765625","91474.32096354167","81658.6560546875","20.94805119832357"
"2022-12-16 06:40","16491.89912109375","91467.66471354167","81654.1689453125","21.0396302541097"
"2022-12-16 06:50","16501.27999674479","91489.1177734375","81670.14270833334","21.137750498453777"
"2022-12-16 07:00","16505.20576171875","91509.244921875","81688.987109375","21.169882520039877"
"2022-12-16 07:10","16494.622591145835","91491.73587239583","81670.6591796875","21.00802001953125"
"2022-12-16 07:20","16493.51121419271","91472.296875","81657.64602864583","20.94766731262207"
"2022-12-16 07:30","16503.729248046875","91500.32981770833","81679.59153645833","21.073514238993326"
"2022-12-16 07:40","16495.175439453124","91502.2798828125","81676.0056640625","21.07477315266927"
"2022-12-16 07:50","16488.4818359375","91479.38125","81657.23951822917","20.983891169230144"
"2022-12-16 08:00","16499.1841796875","91493.2275390625","81671.46555989583","21.059701919555664"
"2022-12-16 08:10","16507.5267578125","91512.66953125","81688.30149739583","21.140652338663738"
"2022-12-16 08:20","16501.932779947918","91495.05696614583","81676.55032552083","21.05781364440918"
"2022-12-16 08:30","16494.19296875","91477.19381510417","81656.28828125","20.942350769042967"
"2022-12-16 08:40","16501.62449544271","91494.65755208333","81671.3787109375","21.036623001098633"
"2022-12-16 08:50","16509.578190104166","91511.29908854167","81689.06184895833","21.15789051055908"
"2022-12-16 09:00","16502.757063802084","91499.72955729166","81676.20638020833","21.068968454996746"
"2022-12-16 09:10","16497.329231770833","91477.0830078125","81657.5111328125","20.964344151814778"
"2022-12-16 09:20","16510.256611241704","91493.52188191372","81672.59506360619","21.038953406470164"
"2022-12-16 09:30","16516.721126302084","91500.32763671875","81678.14508463541","21.06552308400472"
"2022-12-16 09:40","16516.114998372395","91503.82965494791","81681.36451822917","21.085228411356606"
"2022-12-16 09:50","16517.03467610677","91505.66744791667","81681.67880859374","21.094545141855875"
"2022-12-16 10:00","16517.854850260417","91503.47431640625","81680.69153645834","21.05653731028239"
"2022-12-16 10:10","16523.143180338542","91511.95013020834","81687.34368489584","21.110876242319744"
"2022-12-16 10:20","16526.723075810187","91526.04427083333","81698.32482638888","21.137779291938333"
"2022-12-16 10:30","16527.181298828124","91524.25442708333","81700.40013020833","21.194741821289064"
"2022-12-16 10:40","16518.1837890625","91510.41087239583","81688.890234375","21.100578943888348"
"2022-12-16 10:50","16514.957096354166","91499.253125","81679.478125","20.9934024810791"
"2022-12-16 11:00","16518.310872395832","91516.42936197917","81693.68723958333","21.110229810078938"
"2022-12-16 11:10","16512.979931640624","91519.4763671875","81691.80416666667","21.15233103434245"
"2022-12-16 11:20","16508.48260091146","91512.17389322916","81687.01354166666","21.112818400065105"
"2022-12-16 11:30","16509.00652669271","91501.993359375","81682.95703125","21.089529673258465"
"2022-12-16 11:40","16508.727880859376","91489.23138020834","81677.52278645833","21.04655392964681"
"2022-12-16 11:50","16508.93819986979","91480.3486328125","81663.48938802084","20.979869842529297"
"2022-12-16 12:00","16515.250423177084","91486.22233072917","81668.735546875","21.011585871378582"
"2022-12-16 12:10","16524.333268229166","91509.81783854167","81690.54309895834","21.040959040323894"
"2022-12-16 12:20","16526.911002604167","91514.26380208334","81695.69348958334","21.145512771606445"
"2022-12-16 12:30","16522.924886067707","91509.684375","81692.8982421875","21.148450342814126"
"2022-12-16 12:40","16517.05828450521","91503.00234375","81684.71640625","21.093271255493164"
"2022-12-16 12:50","16513.365299479166","91493.8271484375","81672.73307291667","20.957351366678875"
"2022-12-16 13:00","16525.36785481771","91501.02220052083","81685.81705729167","21.003997802734375"
"2022-12-16 13:10","16531.866259765626","91515.1048828125","81694.58046875","21.086312611897785"
"2022-12-16 13:20","16530.47869466146","91513.95950520833","81694.617578125","21.12593142191569"
"2022-12-16 13:30","16524.17921549479","91503.922265625","81686.73404947917","21.081172307332356"
"2022-12-16 13:40","16519.120719401042","91494.9935546875","81674.796875","20.940882873535156"
"2022-12-16 13:50","16528.132210286458","91506.15911458334","81687.3228515625","20.98200340270996"
"2022-12-16 14:00","16527.048193359376","91516.56334635416","81691.08619791667","21.0448055267334"
"2022-12-16 14:10","16521.696614583332","91506.2884765625","81683.28971354167","21.03805669148763"
"2022-12-16 14:20","16526.025325520834","91497.22161458334","81675.13463541666","20.98770268758138"
"2022-12-16 14:30","16534.47587890625","91515.35598958333","81688.45540364583","21.101943333943684"
"2022-12-16 14:40","16540.527734375","91533.86276041667","81702.68912760417","21.13226064046224"
"2022-12-16 14:50","16538.423681640626","91532.66100260416","81703.75885416666","21.16596705118815"
"2022-12-16 15:00","16534.466569010416","91529.1990234375","81701.24147135417","21.11267852783203"
"2022-12-16 15:10","16531.988704427084","91525.430859375","81696.52819010416","21.084599177042644"
"2022-12-16 15:20","16529.93868815104","91511.52799479167","81685.18645833334","20.974904378255207"
"2022-12-16 15:30","16536.270458984374","91521.41171875","81692.11393229167","21.040924072265625"
"2022-12-16 15:40","16540.032600911458","91539.7587890625","81707.3185546875","21.076451619466145"
"2022-12-16 15:50","16539.833333333332","91539.95963541667","81708.61341145834","21.136176172892252"
"2022-12-16 16:00","16534.69412434896","91523.492578125","81696.82369791667","21.04393132527669"
"2022-12-16 16:10","16538.370524088543","91522.76640625","81699.56458333334","21.00193468729655"
"2022-12-16 16:20","16540.36326497396","91530.71692708334","81708.21432291667","21.089739481608074"
"2022-12-16 16:30","16530.132063802084","91524.08391927084","81699.36295572917","21.070332209269207"
"2022-12-16 16:40","16525.208577473957","91511.25260416667","81684.872265625","20.97252655029297"
"2022-12-16 16:50","16532.13507486979","91519.03619791666","81691.89576822917","21.05784861246745"
"2022-12-16 17:00","16538.70224609375","91544.49615885416","81711.04661458333","21.129111289978027"
"2022-12-16 17:10","16538.49002278646","91541.48483072917","81711.84700520833","21.1958953221639"
"2022-12-16 17:20","16534.106770833332","91531.50618489583","81706.84479166666","21.14460252126058"
"2022-12-16 17:30","16528.035563151043","91517.0703125","81694.8677734375","21.04442087809245"
"2022-12-16 17:40","16530.45900065104","91501.81217447917","81681.54544270833","20.941127395629884"
"2022-12-16 17:50","16539.44168294271","91512.28815104166","81691.25989583334","21.06155522664388"
"2022-12-16 18:00","16547.278157552082","91533.5126953125","81713.13404947917","21.11900742848714"
"2022-12-16 18:10","16546.02957356771","91536.56985677083","81714.301953125","21.189951388041177"
