date,Vault_temp,Strain_Gauge_7,Strain_Gauge_8,Strain_Gauge_9,p1ex,p1ey
2022-11-06,21.98326169,16954.8226,91994.17557,82096.68615,-0.921161735,-0.082706735
2022-11-07,21.81748241,16865.04998,91963.36106,82024.44489,-0.921390881,-0.082994147
2022-11-08,21.93792875,16812.21591,91970.4114,81997.04768,-0.816600616,0.005509585
2022-11-09,22.29961079,16836.78751,92015.73578,82023.27555,-0.805419534,0.015097095
2022-11-10,22.33117281,16803.10236,91955.2341,81964.87907,-0.811733668,-0.041687892
2022-11-11,22.21929754,16761.90642,91893.68057,81911.1715,-0.815125051,-0.027027481
2022-11-12,22.2017751,16786.91725,91911.08328,81938.90497,-0.819817935,0.003448034
2022-11-13,22.24722775,16775.10004,91901.3079,81930.95876,-0.820726609,-0.042441738
2022-11-14,22.20248039,16724.96905,91843.93349,81873.57629,-0.820995082,-0.047197959
2022-11-15,22.17017898,16685.63022,91806.10911,81845.68871,-0.823056372,-0.022365764
2022-11-16,22.1729358,16650.69086,91755.44215,81813.99352,-0.812511427,-0.084127626
2022-11-17,21.99883379,16583.38522,91664.78191,81742.24463,-0.814623904,-0.049423326
2022-11-18,22.05639528,16513.79141,91600.91255,81691.59794,-0.815022001,-0.045365797
2022-11-19,21.89335122,16507.75554,91584.60856,81684.40602,-0.81521283,-0.044738122
2022-11-20,21.88585961,16616.48777,91722.70849,81817.43553,-0.815365758,-0.044509924
2022-11-21,22.03892732,16800.92519,91925.063,82002.21174,-0.815501133,-0.044342211
2022-11-22,21.95370867,16820.16347,91931.73043,81984.24429,-0.815622568,-0.04419564
2022-11-23,21.71442288,16781.87803,91887.49004,81940.3907,-0.867904681,-0.054954376
2022-11-24,21.91770494,16738.80263,91868.4621,81921.80659,-0.852675471,-0.042669355
2022-11-25,21.82087069,16631.04015,91743.41452,81809.13858,-1.105413757,-0.231523611
2022-11-26,21.6425111,16550.97003,91656.94256,81736.62041,-1.130722348,-0.250514912
2022-11-27,21.62767003,16544.1442,91649.27009,81730.38315,-0.880540196,-0.0064787
2022-11-28,21.63051651,16545.25714,91650.16809,81731.33533,-0.853025363,0.019777004
2022-11-29,21.44214495,16740.03726,91741.3539,81888.21025,-0.886190597,-0.020381356
2022-11-30,21.3460787,16814.49414,91812.34705,81957.68335,-0.879076967,0.01743313
2022-12-01,21.31930831,16824.41798,91830.39943,81974.40914,-0.875523677,-0.026380403
2022-12-02,21.27032936,16816.641,91842.3317,81970.17778,-0.875166217,-0.03139352
2022-12-03,21.21083953,16819.31288,91869.42824,81981.24002,-0.881991511,0.017622585
2022-12-04,21.25060875,16833.42682,91899.14188,82002.52518,-0.873008805,-0.003982837
2022-12-05,21.21959922,16850.0083,91913.41604,82007.21301,-0.872073742,-0.006675924
2022-12-06,21.20780594,16821.05379,91894.4691,81983.1457,-0.881432599,-0.017432399
2022-12-07,21.27454495,16747.88529,91826.52266,81926.16598,-0.88242855,-0.018757131
2022-12-08,21.28508448,16740.03749,91819.13464,81919.94244,-0.882498576,-0.019019462
2022-12-09,21.2890555,16739.42806,91818.46738,81919.35463,-0.882469707,-0.019151944
2022-12-10,21.29201228,16739.59732,91818.53225,81919.3833,-0.879166546,-0.027872517
2022-12-11,21.29460153,16739.82921,91818.6645,81919.47104,-1.125313241,-0.280297048
2022-12-12,21.29692099,16740.0465,91818.79158,81919.55678,-1.150151719,-0.305773767
2022-12-13,21.18252517,16576.09999,91619.52638,81758.45221,-0.912528912,-0.0732168
2022-12-14,21.16179429,16505.38038,91528.28263,81679.07247,-0.893129029,-0.084969591
2022-12-15,21.13710061,16430.77435,91434.8026,81596.26671,-0.885228428,-0.083987607
2022-12-16,21.10051783,16431.28224,91411.69625,81594.11322,-0.87695681,-0.059644524
2022-12-17,21.07404562,16498.40308,91479.40163,81663.83721,-0.879481535,-0.046820208
2022-12-18,21.14943212,16568.77691,91568.3858,81734.28355,-0.881454669,-0.037147958
2022-12-19,21.103937,16606.05729,91609.7477,81765.40614,-0.881935062,-0.036401417
2022-12-20,20.99314279,16620.21831,91636.83122,81780.5442,-1.150611946,-0.219962635
2022-12-21,21.01735955,16631.77726,91661.18439,81804.76564,-1.005974559,-0.14609012
2022-12-22,21.05049514,16613.00274,91649.22099,81788.55925,-0.88837311,-0.089545758
2022-12-23,21.10025545,16570.94266,91603.8182,81744.17517,-0.877344386,-0.065374203
2022-12-24,21.04372603,16522.20409,91543.98935,81691.65561,-0.876615518,-0.062905369
2022-12-25,20.9865351,16489.15667,91500.21907,81661.08158,-0.876982235,-0.062829003
2022-12-26,20.9667122,16506.3629,91536.36546,81683.7818,-0.877425505,-0.062998756
2022-12-27,20.91103275,16523.72612,91562.57486,81707.56472,-0.877836537,-0.063177843
2022-12-28,20.90119902,16549.10275,91592.55437,81741.13256,-0.882167352,-0.029978746
2022-12-29,20.86276141,16567.67789,91619.00862,81769.09842,-0.886563372,-0.027452749
2022-12-30,20.86910326,16590.58473,91647.73811,81794.4112,-0.88763627,-0.035214402
2022-12-31,20.72633717,16538.54859,91592.38582,81741.01237,-0.893266296,-0.056473271
2023-01-01,20.61699664,16509.93306,91566.41146,81716.50826,-0.895965332,-0.006824564
2023-01-02,20.62812468,16522.33799,91601.23042,81737.10413,-0.896328355,-0.001893482
2023-01-03,20.65220442,16514.76774,91605.71068,81729.9512,-0.900781106,-0.032171961
2023-01-04,20.51825038,16464.74903,91543.67251,81675.02786,-1.162642081,-0.256278332
2023-01-05,20.47061727,16481.3583,91583.18783,81705.07865,-1.189076392,-0.279077919
2023-01-06,20.51755001,16558.46642,91666.88335,81783.23504,-1.189588947,-0.279694865
2023-01-07,20.60484597,16632.61945,91747.91846,81855.20337,-1.187463198,-0.278038022
2023-01-08,20.99624249,16784.09853,91923.58649,81994.27341,-1.185264935,-0.276302916
2023-01-09,20.96981502,16831.0255,91922.8327,81983.51312,-1.183257264,-0.274716143
2023-01-10,20.86481317,16705.00368,91789.36177,81852.31064,-0.927514344,-0.087860012
2023-01-11,20.84049315,16690.61989,91784.85027,81853.10931,-0.897888761,-0.062220998
2023-01-12,20.67668231,16640.58092,91723.7772,81806.46846,-0.901542214,-0.032124207
2023-01-13,20.70630406,16633.09168,91732.1182,81820.5051,-0.90971576,-0.065499349
2023-01-14,20.71197455,16677.29529,91773.69873,81856.20696,-0.918721696,-0.003199922
2023-01-15,20.79711988,16693.49866,91803.67579,81879.86148,-0.920340337,0.002580014
2023-01-16,20.70847304,16651.67461,91744.94554,81823.82089,-0.921074571,0.002187806
2023-01-17,20.76323171,16707.37737,91829.21976,81893.86584,-0.922743283,0.023488683
2023-01-18,20.67205433,16682.98968,91786.56333,81858.99317,-0.935839259,-0.030846211
2023-01-19,20.71594531,16593.77119,91706.52757,81787.64904,-0.937559323,-0.037274541
2023-01-20,20.93522499,16603.48432,91714.72957,81793.02213,-0.93719499,-0.065261666
2023-01-21,20.95791233,16604.88679,91715.78446,81793.90485,-0.937375008,-0.068405828
2023-01-22,20.95889857,16605.33197,91716.0297,81794.25909,-0.937593259,-0.06878272
2023-01-23,20.6148951,16513.44007,91516.22949,81676.13312,-0.937795691,-0.068848964
2023-01-24,20.61802602,16556.65711,91571.13296,81725.58334,-0.969361322,-0.046801182
2023-01-25,20.43386548,16554.24747,91550.85412,81709.79024,-0.972692366,-0.044596297
2023-01-26,20.50121739,16577.41176,91587.94038,81740.51757,-0.973098157,-0.054276142
2023-01-27,20.5006305,16594.54035,91598.99208,81747.39286,-0.972994902,-0.055453274
2023-01-28,20.48150195,16588.34239,91584.20566,81735.32285,-0.980572036,-0.060525192
2023-01-29,20.56721127,16588.28746,91603.52614,81747.70592,-0.983987266,-0.080326117
2023-01-30,20.64635176,16584.56439,91611.96785,81737.70242,-0.984158935,-0.082357859
2023-01-31,20.46004629,16579.14791,91593.2059,81726.56093,-0.983495798,-0.057976826
2023-02-01,20.42118054,16568.3009,91577.82976,81726.25624,-0.983852862,-0.073198808
2023-02-02,20.41664813,16577.38444,91589.80373,81738.63479,-0.982848811,-0.066693114
2023-02-03,20.36178716,16567.51303,91573.42122,81724.82696,-0.982312013,-0.084889164
2023-02-04,20.35804828,16566.67101,91572.17744,81723.63889,-0.982140252,-0.086727744
2023-02-05,20.35975811,16566.80772,91572.55947,81723.81972,-0.982020453,-0.086765105
2023-02-06,20.5482397,16545.09064,91561.55191,81743.52354,-0.981916632,-0.086618982
2023-02-07,20.31014294,16584.64253,91582.66147,81745.90357,-1.000237753,-0.132997661
2023-02-08,19.96970906,16473.04747,91459.24743,81620.18598,-1.002012468,-0.13755474
2023-02-09,20.17874004,16385.30877,91414.95529,81560.4614,-1.001972817,-0.137519521
2023-02-10,20.16509193,16399.28619,91442.35473,81584.74321,-0.991756299,-0.059313242
2023-02-11,20.05371469,16385.65495,91434.5931,81576.84249,-0.99053158,-0.050978422
2023-02-12,20.31675518,16391.47811,91455.69101,81593.29594,-0.990316266,-0.050380882
2023-02-13,20.56280925,16443.1959,91518.51221,81628.15163,-0.99022127,-0.050610849
2023-02-14,20.27118612,16443.25575,91485.39405,81593.1111,-1.170425857,-0.195244869
2023-02-15,20.1009987,16360.75205,91381.39725,81520.19411,-0.994412988,-0.089995233
2023-02-16,20.12276314,16310.62025,91347.89328,81498.78208,-0.975109532,-0.078399698
2023-02-17,19.87351841,16261.51773,91297.54245,81453.91924,-0.973214329,-0.077213172
2023-02-18,19.94314148,16326.07337,91384.5247,81540.4931,-0.973230519,-0.077174334
2023-02-19,19.95402936,16334.34203,91395.0465,81550.81692,-0.973436391,-0.07725376
2023-02-20,20.25144085,16759.01819,91228.45378,81623.1851,-0.973642703,-0.077337864
2023-02-21,20.04904946,16361.92459,91311.61336,81509.9398,-0.973830491,-0.077414867
2023-02-22,19.88998726,16302.78888,91309.71528,81484.65323,-0.978850526,-0.027093229
2023-02-23,19.84327157,16331.40785,91371.91838,81525.68832,-0.962265982,-0.023159675
2023-02-24,19.89755768,16337.45582,91392.04836,81536.44443,-0.958495589,-0.042731949
2023-02-25,19.93595474,16277.98821,91348.41227,81484.23296,-0.947336947,-0.089713301
2023-02-26,19.94199727,16272.75144,91344.2477,81479.39243,-0.946433757,-0.094707239
2023-02-27,19.94426053,16273.40907,91344.40509,81479.72465,-0.9466374,-0.095052981
2023-02-28,20.08724975,16316.30742,91328.55483,81498.30627,-0.960991399,-0.124602787
2023-03-01,19.6313328,16172.99196,91180.59808,81328.80222,-0.959322572,-0.076527517
2023-03-02,19.39947488,16002.80994,91067.71027,81185.45177,-0.957479658,-0.099095513
2023-03-03,19.43687297,15938.25843,91061.36264,81156.39302,-1.030863198,-0.191199717
2023-03-04,19.44599023,15934.69673,91063.25614,81156.32687,-1.038384864,-0.200338163
2023-03-05,19.45145886,15937.55457,91065.80334,81159.16593,-1.038643393,-0.200357573
2023-03-06,19.45607044,15940.79716,91068.18666,81162.04,-1.03815234,-0.199463332
2023-03-07,20.10633984,16192.6788,91157.92535,81459.13437,-0.980903524,-0.089361208
2023-03-08,20.0585419,16233.0873,91166.7618,81486.41302,-0.970840326,-0.082665487
2023-03-09,20.14270018,16248.00528,91181.59347,81500.93981,-1.087424376,-0.190935021
2023-03-10,20.14216064,16229.75569,91155.87149,81473.14152,-1.029654588,-0.162437823
2023-03-11,20.04571065,16198.95971,91111.57449,81437.32466,-0.977072696,-0.074471699
2023-03-12,20.03683247,16166.79296,91081.13253,81409.6248,-0.971501964,-0.065245633
2023-03-13,20.21233295,16159.48973,91092.33174,81404.977,-0.971133714,-0.06472392
2023-03-14,20.18599828,16168.24406,91092.77343,81401.66413,-0.969437855,-0.098482596
2023-03-15,20.10097329,16167.92724,91080.44157,81402.57969,-0.961353862,-0.11675503
2023-03-16,20.07125441,16160.59929,91086.24325,81406.53769,-0.960738615,-0.11869432
2023-03-17,20.08963162,16160.77846,91096.17206,81413.80188,-0.960925615,-0.118825761
2023-03-18,20.20875159,16186.5025,91126.0963,81439.15484,-1.21897201,-0.274293586
2023-03-19,20.22001398,16189.36412,91129.70871,81441.72657,-1.245220168,-0.289912946
2023-03-20,20.44847996,16281.6731,91188.40215,81534.3396,-1.245926169,-0.290141717
2023-03-21,20.57659997,16330.00217,91249.847,81565.75548,-1.244014414,-0.288810839
2023-03-22,20.59776003,16347.1732,91259.15098,81559.08517,-1.242012941,-0.287443776
2023-03-23,20.54912366,16335.66751,91243.23165,81543.13618,-1.240182629,-0.28619613
2023-03-24,20.58083101,16311.91582,91233.01694,81527.84363,-0.967868161,-0.096873714
2023-03-25,20.69908221,16314.98478,91236.89152,81536.10363,-0.93966758,-0.124689838
2023-03-26,20.7078861,16314.6405,91236.8562,81536.38647,-0.93787644,-0.128246365
2023-03-27,20.71516778,16341.05772,91224.40562,81571.31934,-0.938887446,-0.129056845
2023-03-28,20.74032679,16355.58255,91248.41913,81591.93385,-0.955135677,-0.141894777
2023-03-29,20.70523107,16343.71252,91242.85379,81577.83815,-0.957765289,-0.14353004
2023-03-30,20.77486185,16331.51531,91250.2004,81571.76685,-0.958796374,-0.143897863
2023-03-31,20.88596281,16331.76611,91251.84285,81564.17058,-0.959574809,-0.144105837
2023-04-01,20.92312135,16354.44758,91280.02647,81577.53217,-0.96025792,-0.144279109
2023-04-02,20.9260527,16373.33352,91293.81155,81586.32619,-0.960870018,-0.144433317
2023-04-03,20.8496994,16333.97654,91261.47931,81546.30345,-0.961419926,-0.144571739
2023-04-04,20.89917541,16312.59862,91263.62909,81542.53816,-0.979239124,-0.097374125
2023-04-05,20.93598791,16349.83204,91298.93239,81582.36605,-0.981431522,-0.092710692
2023-04-06,20.96044645,16418.46576,91371.81439,81648.41556,-0.981863925,-0.092720387
2023-04-07,21.03990537,16496.43288,91468.33057,81727.23874,-0.982081412,-0.093196521
2023-04-08,21.12684937,16536.26078,91506.97627,81732.81574,-0.982257834,-0.093676448
2023-04-09,21.19720724,16559.26381,91540.29828,81727.37662,-0.982414271,-0.09411356
2023-04-10,21.27146302,16552.31539,91545.54007,81719.64142,-0.98255463,-0.094507051
2023-04-11,21.30874586,16524.38323,91514.33923,81680.10727,-0.982680749,-0.094860765
2023-04-12,21.36635275,16503.2388,91489.07244,81654.4402,-1.042986094,-0.086763668
2023-04-13,21.39345584,16505.13278,91487.92092,81658.09116,-1.04916188,-0.086200228
2023-04-14,21.39539515,16484.72384,91459.07656,81635.14328,-1.058971889,-0.094459864
2023-04-15,21.41888687,16470.21814,91450.54309,81628.46126,-1.06596742,-0.089430439
2023-04-16,21.43473267,16458.28016,91439.69063,81614.07144,-1.062736905,-0.109795757
2023-04-17,21.34681385,16424.49217,91408.76286,81585.35758,-1.061924532,-0.112057671
2023-04-18,21.4001429,16487.88162,91501.56376,81666.84321,-1.061427087,-0.112305672
2023-04-19,21.52439459,16542.17882,91561.97757,81719.05289,-1.064371905,-0.152226962
2023-04-20,21.54404767,16521.33031,91527.18215,81684.63269,-1.064335915,-0.156252664
2023-04-21,21.57217063,16511.44591,91514.18086,81665.63098,-1.070440084,-0.096134495
2023-04-22,21.62850537,16506.49708,91502.41944,81639.20428,-1.342216893,-0.276644573
2023-04-23,21.64744282,16482.98999,91466.46026,81603.21448,-1.099645054,-0.113485569
2023-04-24,21.54488186,16431.76009,91409.22557,81549.02369,-1.072629815,-0.095703968
2023-04-25,21.61993956,16418.762,91412.32996,81557.99554,-1.069601608,-0.09406045
2023-04-26,21.72735457,16458.15684,91451.12748,81592.82885,-1.065482642,-0.083783658
2023-04-27,21.79343615,16506.96142,91493.95691,81625.66128,-1.065045308,-0.08301845
2023-04-28,21.81539369,16539.94729,91518.53551,81647.364,-1.065015497,-0.083273268
